team_id,manager_id,manager_name,team,season,week,player_name,player_id,player_team,position,set_pos,points
129857,1123302,Cina,SCC,20,4,Jimmy Butler,783,MIA,SG/SF,SG,34.8
129857,1123302,Cina,SCC,20,4,Kristaps Porzingis,1303,DAL,PF/C,C,15
129857,1123302,Cina,SCC,20,4,P.J. Washington,1869,CHA,PF/C,BN,21
129857,1123302,Cina,SCC,20,4,Rui Hachimura,1875,WAS,PF,BN,48.5
129858,1123308,lazn,bratkartoffeln beste,20,1,Bogdan Bogdanovic,1188,SAC,G/SF,G,0
129858,1123308,lazn,bratkartoffeln beste,20,1,Cedi Osman,1288,CLE,F,BN,19.2
129858,1123308,lazn,bratkartoffeln beste,20,1,Coby White,1859,CHI,G,BN,42.2
129858,1123308,lazn,bratkartoffeln beste,20,1,De'Aaron Fox,1572,SAC,PG,PG,0
129858,1123308,lazn,bratkartoffeln beste,20,1,Dennis Schroder,1018,OKC,G,ANY,0
129858,1123308,lazn,bratkartoffeln beste,20,1,Domantas Sabonis,1442,IND,PF/C,ANY,51.2
129858,1123308,lazn,bratkartoffeln beste,20,1,James Harden,194,HOU,G,SG,57.5
129858,1123308,lazn,bratkartoffeln beste,20,1,Jaren Jackson,1724,MEM,PF/C,PF/C,46
129858,1123308,lazn,bratkartoffeln beste,20,1,Kyle Kuzma,1536,LAL,F/C,BN,0
129858,1123308,lazn,bratkartoffeln beste,20,1,Lauri Markkanen,1583,CHI,PF/C,PF,0
129858,1123308,lazn,bratkartoffeln beste,20,1,OG Anunoby,1547,TOR,F,SG/SF,42
129858,1123308,lazn,bratkartoffeln beste,20,1,Rudy Gobert,1009,UTA,C,C,27.5
129858,1123308,lazn,bratkartoffeln beste,20,1,Tobias Harris,772,PHI,F,SF,66.5
129858,1123308,lazn,bratkartoffeln beste,20,2,Bogdan Bogdanovic,1188,SAC,G/SF,G,29.2
129858,1123308,lazn,bratkartoffeln beste,20,2,Cedi Osman,1288,CLE,F,BN,33.5
129858,1123308,lazn,bratkartoffeln beste,20,2,Coby White,1859,CHI,G,ANY,14.8
129858,1123308,lazn,bratkartoffeln beste,20,2,De'Aaron Fox,1572,SAC,PG,PG,55.1
129858,1123308,lazn,bratkartoffeln beste,20,2,Dennis Schroder,1018,OKC,G,ANY,47.3
129858,1123308,lazn,bratkartoffeln beste,20,2,Domantas Sabonis,1442,IND,PF/C,PF/C,68.5
129858,1123308,lazn,bratkartoffeln beste,20,2,James Harden,194,HOU,G,SG,83.6
129858,1123308,lazn,bratkartoffeln beste,20,2,Jaren Jackson,1724,MEM,PF/C,BN,21
129858,1123308,lazn,bratkartoffeln beste,20,2,Kyle Kuzma,1536,LAL,F/C,BN,15.2
129858,1123308,lazn,bratkartoffeln beste,20,2,Lauri Markkanen,1583,CHI,PF/C,PF,41.4
129858,1123308,lazn,bratkartoffeln beste,20,2,OG Anunoby,1547,TOR,F,SG/SF,45
129858,1123308,lazn,bratkartoffeln beste,20,2,Rudy Gobert,1009,UTA,C,C,51.1
129858,1123308,lazn,bratkartoffeln beste,20,2,Tobias Harris,772,PHI,F,SF,49
129858,1123308,lazn,bratkartoffeln beste,20,3,Bogdan Bogdanovic,1188,SAC,G/SF,BN,60.8
129858,1123308,lazn,bratkartoffeln beste,20,3,Cedi Osman,1288,CLE,F,ANY,32.5
129858,1123308,lazn,bratkartoffeln beste,20,3,Coby White,1859,CHI,G,BN,27.7
129858,1123308,lazn,bratkartoffeln beste,20,3,De'Aaron Fox,1572,SAC,PG,PG,53
129858,1123308,lazn,bratkartoffeln beste,20,3,Dennis Schroder,1018,OKC,G,G,0
129858,1123308,lazn,bratkartoffeln beste,20,3,Domantas Sabonis,1442,IND,PF/C,PF/C,70.3
129858,1123308,lazn,bratkartoffeln beste,20,3,James Harden,194,HOU,G,SG,114.5
129858,1123308,lazn,bratkartoffeln beste,20,3,Jaren Jackson,1724,MEM,PF/C,BN,0
129858,1123308,lazn,bratkartoffeln beste,20,3,Kyle Kuzma,1536,LAL,F/C,ANY,26.8
129858,1123308,lazn,bratkartoffeln beste,20,3,Lauri Markkanen,1583,CHI,PF/C,PF,36
129858,1123308,lazn,bratkartoffeln beste,20,3,OG Anunoby,1547,TOR,F,SG/SF,50
129858,1123308,lazn,bratkartoffeln beste,20,3,Rudy Gobert,1009,UTA,C,C,52.2
129858,1123308,lazn,bratkartoffeln beste,20,3,Tobias Harris,772,PHI,F,SF,51
129858,1123308,lazn,bratkartoffeln beste,20,4,Bogdan Bogdanovic,1188,SAC,G/SF,G,80
129858,1123308,lazn,bratkartoffeln beste,20,4,Cedi Osman,1288,CLE,F,BN,5.2
129858,1123308,lazn,bratkartoffeln beste,20,4,Coby White,1859,CHI,G,BN,67
129858,1123308,lazn,bratkartoffeln beste,20,4,De'Aaron Fox,1572,SAC,PG,BN,0
129858,1123308,lazn,bratkartoffeln beste,20,4,Dennis Schroder,1018,OKC,G,PG,21
129858,1123308,lazn,bratkartoffeln beste,20,4,Domantas Sabonis,1442,IND,PF/C,PF/C,63
129858,1123308,lazn,bratkartoffeln beste,20,4,James Harden,194,HOU,G,SG,99
129858,1123308,lazn,bratkartoffeln beste,20,4,Jaren Jackson,1724,MEM,PF/C,ANY,60.5
129858,1123308,lazn,bratkartoffeln beste,20,4,Kyle Kuzma,1536,LAL,F/C,ANY,49
129858,1123308,lazn,bratkartoffeln beste,20,4,Lauri Markkanen,1583,CHI,PF/C,PF,34.5
129858,1123308,lazn,bratkartoffeln beste,20,4,OG Anunoby,1547,TOR,F,SG/SF,0.5
129858,1123308,lazn,bratkartoffeln beste,20,4,Rudy Gobert,1009,UTA,C,C,74.5
129858,1123308,lazn,bratkartoffeln beste,20,4,Tobias Harris,772,PHI,F,SF,32.2
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Bam Adebayo,1560,MIA,PF/C,PF/C,55.2
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Darius Garland,1861,CLE,PG,BN,28.2
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Dwight Howard,219,LAL,C,BN,0
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Gary Harris,1131,DEN,SG,SG,22.5
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Jeff Teague,435,MIN,PG,ANY,36.2
129861,1123329,CaramelThunders,Knights of sweet love,20,1,John Collins,1555,ATL,PF/C,PF,52.2
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Jonas Valanciunas,758,MEM,C,BN,0
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Karl-Anthony Towns,1301,MIN,C,C,106
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Ricky Rubio,400,PHX,PG,G,49.8
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Shai Gilgeous-Alexander,1703,OKC,G,SG/SF,60.7
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Terry Rozier,1290,CHA,PG,ANY,40.7
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Trae Young,1722,ATL,PG,PG,97.2
129861,1123329,CaramelThunders,Knights of sweet love,20,1,Trevor Ariza,19,SAC,F,SF,10.3
129861,1123329,CaramelThunders,Knights of sweet love,20,2,Bam Adebayo,1560,MIA,PF/C,PF/C,50
